EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG10062	ECK3200	arcB	None	aa	778	Counterclockwise	3350689	3353025	72.19	87982.91	aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB	Enzyme; Global regulatory functions	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB	The ArcAB two-component regulatory system represses aerobic genes and activates some anerobic genes under anaerobic growth conditions. ArcB has has one receiver domain and two transmitter domains facilitating a four-step phosphorelay to ArcA and RssB.	; 48994928	P0AEC3	b3210	10537	JW5536	CG29063
EG10063	ECK2814	argA	Arg1, Arg2, argB	aa	443	Clockwise	2949242	2950573	63.54	49195.19	amino acid N-acetyltransferase and inactive acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine	Null	; 1789181	P0A6C5	b2818	9245	JW2786	CG1021
EG10064	ECK3950	argB	None	aa	258	Clockwise	4156013	4156789	89.54	27159.54	acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate kinase	Null	; 87082353	P0A6C8	b3959	12967	JW5553	CG1020
EG10065	ECK3949	argC	Arg2, argH	aa	334	Clockwise	4155001	4156005	89.52	35952.13	N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Arginine	N-acetyl-gamma-glutamyl-phosphate reductase	4/125 ArgC peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	; 1790396	P11446	b3958	12964	JW3930	CG1019
EG10066	ECK3347	argD	alaB, Arg1, argG, dapC, dtu	aa	406	Counterclockwise	3488960	3490180	75.17	43766.97	bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase	Enzyme; Amino acid biosynthesis: Arginine	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent	OtherPDB(S. typhimurium): 2PB0,2PB2 (Rajaram, 2007). HT_Cmplx34_Cyt: ArgD+CbpA+PepT.	; 1789759	P18335	b3359	10976	JW3322	CG1018
EG10067	ECK0274	argF	Arg5, argD	aa	334	Counterclockwise	289301	290305	6.23	36827.14	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	Enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	; 1786469	P06960	b0273	939	JW0266	CG1016
EG10068	ECK3161	argG	Arg6, argE	aa	447	Clockwise	3318637	3319980	71.50	49898.40	argininosuccinate synthetase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate synthase	Null	; 1789563	P0A6E4	b3172	10428	JW3140	CG1015
EG10069	ECK4247	argI	None	aa	334	Counterclockwise	4477307	4478311	96.46	36907.11	ornithine carbamoyltransferase 1	Enzyme; Amino acid biosynthesis: Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	; 1790703	P04391	b4254	13927	JW4211	CG1013
EG10070	ECK3226	argR	Rarg, xerA	aa	156	Clockwise	3384703	3385173	72.92	16994.52	l-arginine-responsive arginine metabolism regulon transcriptional regulator	Regulator; Amino acid biosynthesis: Arginine	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	Null	; 1789633	P0A6D0	b3237	10620	JW3206	CG1011
EG10071	ECK1877	argS	lov	aa	577	Clockwise	1960062	1961795	42.23	64682.96	arginyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Arginine--tRNA ligase	Null	; 1788184	P11875	b1876	6264	JW1865	CG1010
EG10072	ECK2304	argT	None	aa	260	Counterclockwise	2427009	2427791	52.29	27991.66	lysine/arginine/ornithine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Lys-, Arg-, and Orn-binding protein, periplasmic	After four hours of Zn(II) stress, ArgT protein levels decreased (Easton, 2006).	; 1788649	P09551	b2310	7621	JW2307	CG18529
EG10073	ECK0899	aroA	None	aa	427	Clockwise	958812	960095	20.66	46095.78	5-enolpyruvylshikimate-3-phosphate synthetase	Enzyme; Amino acid biosynthesis: Chorismate	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase	The N-terminus of AroA was sequenced in Duncan et al., FEBS Lett. 170:59-63 (1984) but this citation is not in Medline; the sequencing result is noted in pmid 3518706, which is cited in the Verified Set.	; 1787137	P0A6D3	b0908	3095	JW0891	CG1008
EG10074	ECK3376	aroB	None	aa	362	Counterclockwise	3517398	3518486	75.78	38880.99	3-dehydroquinate synthase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate synthase	aroB is a multi-copy suppressor of a pdxB deletion (Kim, 2010).	; 1789791	P07639	b3389	11067	JW3352	CG1007
EG10075	ECK2323	aroC	None	aa	361	Counterclockwise	2446388	2447473	52.71	39137.45	chorismate synthase	Enzyme; Amino acid biosynthesis: Chorismate	Chorismate synthase	Null	; 1788669	P12008	b2329	7693	JW2326	CG1006
EG10076	ECK1691	aroD	None	aa	252	Clockwise	1774686	1775444	38.23	27466.65	3-dehydroquinate dehydratase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate dehydratase	Null	; 1787984	P05194	b1693	5653	JW1683	CG1005
EG10077	ECK3268	aroE	None	aa	272	Counterclockwise	3430020	3430838	73.90	29413.64	dehydroshikimate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate 5-dehydrogenase	AroE is also called dehydroshikimate reductase. AroE is paralogous to YdiB. 	; 1789675	P15770	b3281	10763	JW3242	CG1004
EG10078	ECK2598	aroF	None	aa	356	Counterclockwise	2740080	2741150	59.03	38803.96	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	Enzyme; Amino acid biosynthesis: Tyrosine	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon	The 40 N-terminal amino acids of AroF were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	; 1788953	P00888	b2601	8549	JW2582	CG1003
EG10079	ECK0743	aroG	None	aa	350	Clockwise	785633	786685	16.93	38009.52	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	Enzyme; Amino acid biosynthesis: Phenylalanine	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon	The 40 N-terminal amino acids of AroG were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	; 1786969	P0AB91	b0754	2560	JW0737	CG1002
EG10080	ECK1702	aroH	None	aa	348	Clockwise	1788435	1789481	38.53	38735.06	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible	Enzyme; Amino acid biosynthesis: Tryptophan	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible	aroH is in the PurR regulon (Marbach, 2012). The 40 N-terminal amino acids of AroH were also determined by Shultz et al., FEBS Lett. 131:108-110 (1981) but this citation in not in Medline so it is not included in the Verified Set references.	; 1787996	P00887	b1704	5686	JW1694	CG1001
EG10081	ECK3377	aroK	None	aa	173	Counterclockwise	3518543	3519064	75.80	19538.05	shikimate kinase I	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase I; alkali-inducible	Null	; 87082255	P0A6D7	b3390	11069	JW5947	CG30224
EG10082	ECK0383	aroL	None	aa	174	Clockwise	406405	406929	8.76	19150.83	shikimate kinase II	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase II	Null	; 1786587	P0A6E1	b0388	1353	JW0379	CG999
EG10083	ECK0385	aroM	None	aa	225	Clockwise	407428	408105	8.78	24916.91	AroM family protein	Null	Function unknown	aroM is downstream of aroL.	; 1786589	P0AE28	b0390	1357	JW0381	CG18523
EG10084	ECK0111	aroP	None	aa	457	Counterclockwise	120178	121551	2.59	49690.13	aromatic amino acid transporter	Transport; Transport of small molecules: Amino acids, amines	General aromatic amino acid transport permease	AroP imports phenylalanine, tyrosine, and tryptophan across the cytoplasmic membrane. APC superfamily. Tyr regulon.	; 1786302	P15993	b0112	384	JW0108	CG998
EG10085	ECK2711	ascB	sac	aa	474	Clockwise	2840990	2842414	61.21	53934.93	cryptic 6-phospho-beta-glucosidase	Enzyme; Degradation of small molecules: Carbon compounds	Phospho-beta-glucosidase; inducer unknown; expressed when repressor AscG is mutated	bglA, bglB and ascB are paralogs.	; 1789070	P24240	b2716	8928	JW2686	CG33236
EG10086	ECK2710	ascF	sac	aa	485	Clockwise	2839524	2840981	61.17	51025.96	cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	Null	; 48994906	P24241	b2715	8926	JW5435	CG33233
EG10087	ECK2709	ascG	sac	aa	336	Counterclockwise	2838254	2839264	61.15	36813.20	asc operon transcriptional repressor; prpBC operon repressor	Regulator; Degradation of small molecules: Carbon compounds	Repressor of asc operon; inducer unknown; prpBC operon repressor	An alternative ascG ATG start codon that precedes the annotated start codon might be utilized to form a 337 aa primary AscG translation product.	; 1789068	P24242	b2714	8922	JW5434	CG33230
EG10088	ECK3419	asd	dap, hom	aa	367	Counterclockwise	3573775	3574878	76.99	40017.88	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Lysine	Aspartate semialdehyde dehydrogenase	The asd-yhgN divergent genes promoter region binds FNR (Federowicz, 2014).	; 1789841	P0A9Q9	b3433	11211	JW3396	CG996
EG10089	ECK3794	aslA	atsA, gppB	aa	551	Counterclockwise	3984352	3986007	85.84	60717.60	putative Ser-type periplasmic non-aryl sulfatase	Enzyme; Central intermediary metabolism: Sulfur metabolism	Predicted periplasmic non-aryl sulfatase, Ser-type; possible periplasmic mucin-desulfating sulfatase	E. coli K-12 cells exhibit mucin-desulfating sulfatase activity but not arylsulfatase activity (Yamada, 1978; Jansen, 1999). It is not known if one or both of the predicted periplasmic sulfatases AslA and YdeN are responsible for the observed mucin-desulfating sulfatase activity, but it is possible. AslB is predicted to be the anaerobic sulfatase-maturating enzyme converting Ser136 to 3-oxoalanine in AslA. 3-oxoalanine is also known as Calpha-formylglycine (FGly). The first 24 aa of AslA are predicted to be a type I signal peptide.	; 1790233	P25549	b3801	12411	JW3773	CG33957
EG10090	ECK3793	aslB	atsB, gppB	aa	411	Clockwise	3982958	3984193	85.81	46513.17	putative AslA-specific sulfatase-maturating enzyme	Regulator; Not classified	Predicted AslA-specific anaerobic sulfatase-maturating enzyme; Radical SAM enzyme	AslB is predicted to be the anaerobic sulfatase-maturating enzyme (anSME) responsible for the conversion of Ser136 to Calpha-formylglycine (FGly), also known as 3-oxoalanine, in the predicted periplasmic sulfatase AslA (Berteau, 2006). E. coli K-12 cells exhibit mucin-desulfating sulfatase activity but not arylsulfatase activity (Jansen, 1999). anSMEs are also known as Radical SAM superfamily sulfatase-maturases. Rob regulon.	; 48994973	P25550	b3800	12408	JW5594	CG33960
EG10091	ECK3738	asnA	None	aa	330	Clockwise	3927155	3928147	84.61	36650.55	asparagine synthetase A	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase A; aspartate-ammonia ligase	AsnA is related to class II aa-tRNA synthetases (Nakatsu, 1998). AsnA and AsnB are redundant; an asparagine auxotrophy requires that both genes be mutated. AsnA uses ammonia as the nitrogen source. Residues 199-203 of zwf encode a NNWDN peptide involved in MazF(ChpA) toxicity that is likely converted to NNWNN by AsnA since an asnA deletion prevents NNWNN activity (Kolodkin-Gal, 2007).	; 1790183	P00963	b3744	12242	JW3722	CG995
EG10092	ECK0662	asnB	None	aa	554	Counterclockwise	697513	699177	15.03	62659.01	asparagine synthetase B	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase B [glutamine-hydrolyzing]	AsnA and AsnB are redundant; an asparagine auxotrophy requires that both the asnA and the asnB genes be mutated. Although ammonia can be utilized by AsnB, glutamine is the preferred substrate.	; 1786889	P22106	b0674	2292	JW0660	CG994
EG10093	ECK3737	asnC	None	aa	152	Counterclockwise	3926545	3927003	84.59	16887.67	transcriptional activator of asnA; autorepressor	Regulator; Amino acid biosynthesis: Asparagine	Regulatory gene for asnA, asnC, gidA, Lrp family	Feast/famine regulatory protein.	; 1790182	P0ACI6	b3743	12237	JW3721	CG18520
EG10094	ECK0921	asnS	lcs, tss	aa	466	Counterclockwise	987585	988985	21.28	52570.44	asparaginyl tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Asparagine--tRNA ligase	asnS is in the PurR regulon (Marbach, 2012).	; 1787161	P0A8M0	b0930	3162	JW0913	CG993
EG10095	ECK4133	aspA	None	aa	478	Counterclockwise	4366891	4368327	94.08	52356.13	aspartate ammonia-lyase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	L-aspartate ammonia-lyase; L-aspartase	Tetrameric enzyme. Repressed by nitrate via NarXL mediated repression.	; 87082375	P0AC38	b4139	13551	JW4099	CG991
EG10096	ECK0919	aspC	None	aa	396	Counterclockwise	984519	985709	21.21	43573.36	aspartate aminotransferase, PLP-dependent	Enzyme; Amino acid biosynthesis: Aspartate	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K	Null	; 1787159	P00509	b0928	3150	JW0911	CG990
EG10097	ECK1867	aspS	tls	aa	590	Counterclockwise	1948750	1950522	41.98	65913.45	aspartyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Aspartate--tRNA ligase	Null	; 1788173	P21889	b1866	6226	JW1855	CG32508
EG10098	ECK3727	atpA	papA, uncA	aa	513	Counterclockwise	3918316	3919857	84.42	55222.08	F1 sector of membrane-bound ATP synthase, alpha subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit alpha, membrane-bound, F1 sector	Binds TrxA (Kumar, 2004). HT_Cmplx10_Mem: AtpA+AtpD+AtpG. HT_Cmplx1_Cyt: AtpA+AtpD.	; 1790172	P0ABB0	b3734	12213	JW3712	CG33
EG10099	ECK3731	atpB	papD, uncB	aa	271	Counterclockwise	3921236	3922051	84.48	30303.26	F0 sector of membrane-bound ATP synthase, subunit a	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit a, membrane-bound, F0 sector	Null	; 1790176	P0AB98	b3738	12222	JW3716	CG32
EG10100	ECK3724	atpC	papG, uncC	aa	139	Counterclockwise	3915553	3915972	84.36	15068.27	F1 sector of membrane-bound ATP synthase, epsilon subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit epsilon, membrane-bound, F1 sector	Null	; 1790169	P0A6E6	b3731	12206	JW3709	CG31
EG10101	ECK3725	atpD	papB, uncD	aa	460	Counterclockwise	3915993	3917375	84.37	50325.42	F1 sector of membrane-bound ATP synthase, beta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit beta, membrane-bound, F1 sector	Binds TrxA (Kumar, 2004). HT_Cmplx10_Mem: AtpA+AtpD+AtpG. HT_Cmplx1_Cyt: AtpA+AtpD.	; 1790170	P0ABB4	b3732	12208	JW3710	CG30
EG10102	ECK3730	atpE	papH, uncE	aa	79	Counterclockwise	3920950	3921189	84.47	8256.11	F0 sector of membrane-bound ATP synthase, subunit c	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding	Null	; 1790175	P68699	b3737	12220	JW3715	CG29
EG10103	ECK3729	atpF	papF, uncF	aa	156	Counterclockwise	3920418	3920888	84.46	17263.96	F0 sector of membrane-bound ATP synthase, subunit b	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit b, membrane-bound, F0 sector	Null	; 1790174	P0ABA0	b3736	12217	JW3714	CG28
EG10104	ECK3726	atpG	papC, uncG	aa	287	Counterclockwise	3917402	3918265	84.40	31577.42	F1 sector of membrane-bound ATP synthase, gamma subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit gamma, membrane-bound, F1 sector	HT_Cmplx10_Mem: AtpA+AtpD+AtpG.	; 1790171	P0ABA6	b3733	12211	JW3711	CG27
EG10105	ECK3728	atpH	papE, uncH	aa	177	Counterclockwise	3919870	3920403	84.45	19332.22	F1 sector of membrane-bound ATP synthase, delta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit delta, membrane-bound, F1 sector	Null	; 1790173	P0ABA4	b3735	12215	JW3713	CG26
EG10106	ECK3732	atpI	uncI	aa	126	Counterclockwise	3922060	3922440	84.50	13631.73	ATP synthase, membrane-bound accessory factor	Enzyme; ATP-proton motive force interconversion	ATP synthase, membrane-bound accessory factor	AtpI is not required for ATP synthase activity and is not present in the ATP synthase complex, although atpI mutants have a lower growth yield indicating an accessory role in ATP synthase function, perhaps as a non-essential membrane assembly factor (von Meyenburg, 1982; Gay, 1984). atpI has numerous rare codons and is poorly expressed. atpI is contained within one of the 20 regions of extreme structure (RES15) probably representing a highly curved DNA segment (Pedersen, 2000).	; 87082325	P0ABC0	b3739	12224	JW5611	CG18511
